Case #,Known to Police or FBI,Criminal Record,Part I Crimes,Part II Crimes,Highest Level of Justice System Involvement,History of Physical Altercations,History of Animal Abuse,History of Domestic Abuse,Domestic Abuse Specified,History of Sexual Offenses,Gang Affiliation,Terror Group Affiliation,Known Hate Group or Chat Room Affiliation,Violent Video Games,Bully,Bullied
108,0,1,0,7; 8,4,1,0,0,0,0,0,0,0,0,0,0
109,1,1,6,1; 7; 9,4,2,0,0,0,0,0,0,0,0,0,0
110,0,1,0,8,0,0,0,1,1; 4,0,0,0,0,0,1,0
111,0,1,0,2; 9,2,0,0,2,1,0,0,0,0,0,0,0
112,0,1,0,9,4,0,0,0,0,1,0,0,0,0,0,0
113,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
114,1,1,2; 3; 5,1; 5; 9,4,1,0,3,2,1,0,0,0,0,0,0
115,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,1
116,0,1,4,0,4,0,0,1,1; 2; 3,1,0,0,0,0,0,0
117,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,1
118,0,1,0,5; 7,2,0,0,0,0,0,1,0,0,0,0,0
119,0,1,2,6,4,0,0,1,3,1,0,0,0,0,1,0
120,1,1,0,7; 9,4,0,0,0,0,0,0,0,0,1,0,0
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,1,0,1,4,0,0,3,1; 3; 4,1,0,0,0,0,0,0
124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,0,1,0,1; 5; 9,3,1,0,3,1,0,0,0,0,0,1,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,0,1,0,8; 9,4,2,0,0,0,0,1,1,1,0,0,0
128,0,1,0,9,4,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,9,1,0,0,0,0,0,0,0,0,1,0,1
130,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
131,0,1,4,9,4,0,0,1,1; 2; 3,1,0,0,0,0,0,0
132,0,1,4,5,2,0,0,2,1; 4,0,0,0,0,2,0,0
133,1,0,0,0,0,1,0,2,3,0,0,0,0,0,1,0
134,0,1,0,1; 5,2,1,0,0,0,0,0,0,0,1,0,0
135,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0
136,1,0,0,1,1,1,0,0,0,0,0,0,4,1,0,1
137,0,0,0,1,1,1,0,1,1,0,0,0,0,2,0,0
138,0,1,0,7; 9,4,0,0,0,0,0,0,1,4,2,0,0
139,0,1,0,8,2,0,0,0,0,0,0,1,3,0,0,0
140,0,1,0,1,4,0,0,2,4,0,0,0,4,2,0,0
141,0,1,0,1,2,1,0,3,1; 4,0,0,0,0,0,1,0
142,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145; 146,,,,,,,,,,,,,,,,
147,1,1,0,1,3,1,0,1,1; 3,0,0,1,3,2,1,1
148,0,0,0,5; 6; 7,2,2,0,0,0,1,0,0,1,1,0,0
149,0,1,2,1; 6; 8,4,0,1,3,1; 2; 3,1,0,1,3,1,1,0
150,1,1,0,1; 9,4,0,0,1,1,1,0,0,0,1,0,0
151,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0
152,1,0,0,0,0,0,0,3,1; 3,0,0,0,0,0,0,0
153,0,1,0,1; 8; 9,4,1,0,0,0,0,0,0,0,0,1,0
154,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0
155,0,1,2; 4,1; 5; 9,4,0,1,3,1; 3; 4,1,0,0,0,1,0,1
156,1,1,3; 4,5; 9,3,0,0,1,1; 3,0,0,0,0,0,1,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1,1,0,1; 9,1,1,1,3,1; 4,0,0,0,4,1,0,1
159,0,1,5; 7,5,4,0,0,0,0,0,0,0,0,0,0,0
160,1,1,7,9,4,1,0,0,0,0,0,0,0,1,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
162,0,1,0,9,4,0,0,1,3,0,0,0,0,1,1,1
163,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
165,1,0,0,0,0,0,0,2,3; 4,1,0,0,0,1,0,0
166,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
167,1,1,4,1; 9,4,0,0,1,1; 3; 4,0,0,0,0,2,1,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1
170,1,1,0,1; 8,4,0,0,1,1,1,0,0,1,2,0,0
171,0,1,0,9,4,1,1,2,3,0,0,0,0,0,0,0
172,0,1,1,1; 5; 9,4,0,0,1,3,0,0,0,1,0,0,0
173,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
174,0,1,0,1; 9,3,0,0,1,1,0,0,0,0,0,0,1
175,0,1,0,9,4,0,0,0,0,0,0,0,1,1,1,0
176,1,1,4; 6,5;7;9,3,1,0,1,1,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,1,0,1,4,1,0,0,0,0,0,0,0,2,0,1
179,0,1,4,1; 9,4,0,0,2,1; 4,0,0,0,0,0,0,0
180,1,1,4,1,4,0,0,1,1; 4,0,0,0,1,0,0,0
181,0,1,2,9,3,0,0,1,1; 2,1,0,0,0,0,1,0
182,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
183,1,1`,0,9,2,1,0,1,1,0,0,0,1,0,1,0
184,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
185,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189,1,0,0,0,2,1,0,2,1,0,0,0,,,0,1
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,1; 4,0,0,0
