Case #,Known Prejudices ,Motive: Racism/Xenophobia,Motive: Religious Hate,Motive: Misogyny,Motive: Homophobia,Motive: Employment Issue,Motive: Economic Issue,Motive: Legal Issue,Motive: Relationship Issue,Motive: Interpersonal Conflict ,Motive: Fame-Seeking,Motive: Other ,Motive: Unknown,Role of Psychosis in the Shooting
148,1; 4,2,0,0,0,0,0,0,0,0,0,1,0,0
149,2,0,0,0,0,0,0,0,0,0,0,0,1,0
150,0,0,0,0,0,0,0,0,0,0,0,0,1,3
151,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,2,0,0,0,0,0,1,1,1,0,0,0,0,0
153,0,0,0,0,0,1,0,0,0,1,0,0,0,0
154,0,0,0,0,0,0,1,0,0,0,0,0,1,0
155,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,0,0,0,0,0,0,0,1,0,1,0,0,0,3
157,0,0,0,0,0,0,0,0,1,0,0,0,0,0
158,1; 3; 4,0,0,0,0,0,0,0,0,0,1,0,1,0
159,0,0,0,0,0,0,0,0,1,1,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,1,3
161,0,0,0,0,0,0,0,0,0,0,0,0,1,2
162,2,0,0,0,0,0,0,1,0,0,0,1,0,0
163,0,0,0,0,0,0,0,0,1,0,0,0,0,0
164,1; 2; 4,1,1,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,1,0,1,0
166,0,0,0,0,0,0,0,0,0,0,0,0,1,0
167,2,0,0,0,0,1,0,0,0,0,0,0,0,0
168,0,0,0,0,0,1,1,0,0,0,0,0,0,0
169,1,1,0,0,0,0,0,0,0,0,0,0,0,0
170,2,0,0,0,0,0,0,0,0,0,0,0,1,0
171,1,0,0,0,0,0,0,0,0,0,0,0,1,1
172,1; 4,1,1,0,0,0,0,0,0,0,0,0,0,0
173,1; 4,1,1,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,1,0,0,1,1
175,1,0,0,0,0,0,0,0,0,0,0,0,1,2
176,0,0,0,0,0,0,0,0,1,0,1,0,1,0
177,2,1,0,1,0,0,0,0,0,0,0,1,0,0
178,3,0,0,0,0,0,0,0,0,0,0,0,1,0
179,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180,1,0,0,0,0,0,0,0,0,0,0,0,1,0
181,0,0,0,0,0,0,0,0,0,0,0,1,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,1;2;4,0,0,0,0,0,0,0,0,1,0,1,0,1
184,1; 4,1,1,0,0,0,0,0,0,0,0,0,0,0
185,2,0,0,0,0,0,0,0,0,1,1,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,4,0,0,0,0,0,0,0,0,0,0,0,1,0
188,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,,,,,,,,,,,,,1,0
190,0,0,0,0,0,0,0,0,0,0,0,0,1,2
191,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,0,0,0,0,0,1,0,0,0,1,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,0,0,0,0,0,0,0,0,0,0,0,1,0,0
195,1; 2; 4,0,0,0,0,0,0,0,0,0,0,0,1,0
